,lag_4,lag_14,lag_15,diff_1_lag_1,log_lag_1,log_lag_2,log_lag_4,log_lag_10,max_8,var_8,ma_14,skew_18,ema_0.1,ema_0.2,ema_0.3,tema_0.3,dema_0.7,ema_0.9,dema_0.9,tema_0.9,momentum_20,macd_signal,macd_hist,adx,bb_lower,bb_width,month_2,is_end_month,ema_diff_0.5_0.1,dist_to_ema_0.5,is_peak,is_trough,skew_20,coeff_var_20
ma_14,0.9528710698828374,0.9596915150850407,0.9594696696523112,-0.0567252116681968,0.9189669396324698,0.9232775522302042,0.9328818208889909,0.9293446307464479,0.9723867564982979,-0.19983496441536353,1.0,-0.0932352306816633,0.9948611696370097,0.9892239386765309,0.9755569568168551,0.9357474146358199,0.9370339256725352,0.9396061575976955,0.9368042319990089,0.9367850244704904,0.13253004085993214,0.42384329877554683,-0.25852280504779496,-0.18756704506139185,0.9352003913777555,-0.5050030150853965,0.015599429739039538,0.03207093913123617,0.07524319297654207,-0.11377767740024851,0.045167451331751256,0.03760117655929115,-0.09779860275936779,-0.505002923497432
skew_18,0.016603211635582225,-0.045829744395675276,-0.04672141841803059,0.14680424530373154,0.06801171466997101,0.05323884277238509,0.03093404782963028,-0.014150049209705168,-0.050952505332565665,-0.09982051216771576,-0.0932352306816633,1.0,-0.057887381650057114,-0.04234449185719639,-0.018188823725700038,0.05211370556896513,0.055581009862607646,0.05181095454120008,0.05662487116516938,0.056694954108049624,0.0711905690310167,-0.11449928526883978,0.33073931305026766,-0.07754069050201728,-0.028985351536568473,-0.06352977092024589,0.06344454875465076,-0.014568563830234114,0.24160105758464132,0.40103019785486116,0.08244490427823642,-0.07792494347725983,0.8645658604765127,-0.06352978421173693
ema_0.1,0.950342537021255,0.9510712811129745,0.9510272011305028,-0.05367361265288357,0.9173054558976513,0.9212446064551273,0.9294919816109023,0.9198719883592252,0.9679559479018368,-0.2015654931848767,0.9948611696370097,-0.057887381650057114,1.0,0.9861372942979736,0.9720136739261122,0.9352973813568654,0.9358323091079628,0.9382447416911623,0.9355458482329709,0.9355203411489333,0.08134455153682492,0.34863413174327273,-0.2326959324735459,-0.20380062521033598,0.9384549734770523,-0.499034322009937,0.02350838020336277,0.028170864163936448,0.050978781282924886,-0.10251398321317225,0.04601709553392335,0.031710609324754946,-0.06102502537445897,-0.49903423388238266
ema_0.2,0.9811410170654576,0.9639960271258723,0.9618198908990668,-0.03320514901090443,0.956915545439899,0.9589963784858978,0.9627294717964213,0.9437328049665119,0.9810448663257892,-0.23166912596105885,0.9892239386765309,-0.04234449185719639,0.9861372942979736,1.0,0.9970577437108905,0.9752911389957728,0.9742671164769571,0.9760527152070751,0.9737331495070397,0.9736853222327227,0.23512864254564697,0.47502801052754656,-0.12512096830730043,-0.19841052398739376,0.9158538113473919,-0.4981782281697462,0.03361211227581969,0.03597297986903359,0.20743064483478038,-0.05208129359158167,0.05590985294139206,0.027077720927526045,-0.037974682578182796,-0.4981781387551798
ema_0.3,0.9877055349650804,0.9589922940837705,0.955692333370594,-0.017154479451623936,0.9698315219801515,0.9703951325155271,0.9703030184494473,0.9438561413589165,0.9771987710939305,-0.2473491765648267,0.9755569568168551,-0.018188823725700038,0.9720136739261122,0.9970577437108905,1.0,0.988499409300051,0.9867391115561442,0.9880284978040853,0.9860747301743765,0.9860124956997869,0.29652225761256806,0.5064565513122483,-0.055840914800480534,-0.20079387808010066,0.8971167359950494,-0.4908600358325038,0.04267524913833647,0.037709773401990325,0.2804642020664894,-0.011910031272974415,0.06339895193997848,0.01988546531997333,-0.009688936532349379,-0.4908599478218341
tema_0.3,0.9831143357719557,0.9321948517728988,0.9271665133169803,0.03044690324171949,0.9819831353365677,0.9777984177950986,0.9670511454365588,0.9242027868250756,0.9533939036756269,-0.2751592501287174,0.9357474146358199,0.05211370556896513,0.9352973813568654,0.9752911389957728,0.988499409300051,1.0,0.9984709353781145,0.9984721617521068,0.9977131847700687,0.9976278513732674,0.3807034082764236,0.5214491003405647,0.07115339028100812,-0.20708572044391077,0.8547992268058066,-0.4689247341534468,0.06301679528313198,0.034864632906868344,0.3982954576503494,0.10066839627931631,0.08665410237554041,-0.0058035919830062834,0.06444394552557026,-0.46892465121197774
dema_0.7,0.9815701993973007,0.9331487435551951,0.928305485003693,0.045990028836831516,0.981720234910809,0.9756025708629883,0.9645112925161101,0.9244394737270253,0.9543878786083951,-0.271049484203036,0.9370339256725352,0.055581009862607646,0.9358323091079628,0.9742671164769571,0.9867391115561442,0.9984709353781145,1.0,0.9999516094023542,0.9998821032276367,0.9998531271714579,0.38120102153694113,0.5183694458669112,0.059020603645770976,-0.20633700902351104,0.8563241195099357,-0.46922496005477404,0.06311033386750242,0.030851139326971408,0.3917552355459048,0.13794215246627473,0.09890705404202907,-0.01797777598266071,0.06537775094637877,-0.46922487666389995
ema_0.9,0.982635548943224,0.9351507590061695,0.9303509932426521,0.042058294701234004,0.9815623098806965,0.9758515312408989,0.9655399904661296,0.9261129120986502,0.9562371631111788,-0.2697632696694681,0.9396061575976955,0.05181095454120008,0.9382447416911623,0.9760527152070751,0.9880284978040853,0.9984721617521068,0.9999516094023542,1.0,0.9998795577447447,0.9998584704397493,0.37745785235390394,0.5184304023946327,0.052992614912472015,-0.20615373008704943,0.8588864442489553,-0.470600342983344,0.06218300990877033,0.03113666345742867,0.38621233539633715,0.13178316450698072,0.0976754904103039,-0.016509929682581647,0.061551457527198324,-0.4706002592952982
dema_0.9,0.9812507123587045,0.9329850904738904,0.9281019010894395,0.046645603849616565,0.981026055172218,0.9747853290639811,0.9640468702640645,0.9241515960605813,0.9542364160288668,-0.27003100695001514,0.9368042319990089,0.05662487116516938,0.9355458482329709,0.9737331495070397,0.9860747301743765,0.9977131847700687,0.9998821032276367,0.9998795577447447,1.0,0.9999982465611443,0.38124563446651727,0.517615175310109,0.05729495463777584,-0.20624946369696068,0.856140862767234,-0.46896771795781067,0.0634020409633619,0.030051823044006578,0.3903998019341844,0.14624074561782383,0.10166410350897713,-0.020672965375935062,0.06605221030416229,-0.4689676345682823
tema_0.9,0.9812283777242564,0.9329691296091729,0.928078912938871,0.04646910770593793,0.9809367034647832,0.9747093671034344,0.9640160073868878,0.9241269863471087,0.9542212094322082,-0.2699245973098053,0.9367850244704904,0.056694954108049624,0.9355203411489333,0.9736853222327227,0.9860124956997869,0.9976278513732674,0.9998531271714579,0.9998584704397493,0.9999982465611443,1.0,0.38123554691861034,0.5175609697278778,0.057116345439744566,-0.20623939294518914,0.8561235403078317,-0.46894393061018863,0.06342804096657703,0.02997644816148095,0.3902424383597828,0.14697842320865262,0.10192749436981068,-0.020895780304451512,0.06609080476197916,-0.46894384722086874
